Fecha, Hora, Temp. Ambiental (DHT11), Humedad (DHT11), CO2 PPM (MQ135),  Temp. Corporal (MLX90614), Pulso Card. (MAX30102), Oxigenacion (MAX30102)
04/12/2024, 00:53:13, 20.60, 60.00, 80, 20.01, 0.00, 0.00
04/12/2024, 00:53:19, 20.60, 60.00, 83, 20.05, 0.00, 0.00
04/12/2024, 00:53:26, 20.60, 60.00, 83, 20.05, 0.00, 0.00
04/12/2024, 00:53:32, 20.60, 60.00, 80, 20.01, 0.00, 0.00
04/12/2024, 00:53:38, 20.60, 60.00, 83, 20.01, 0.00, 0.00
04/12/2024, 00:53:45, 20.60, 60.00, 83, 19.99, 0.00, 0.00
04/12/2024, 00:53:51, 20.60, 60.00, 83, 20.09, 0.00, 0.00
04/12/2024, 00:53:57, 20.60, 60.00, 80, 20.01, 0.00, 0.00
04/12/2024, 00:54:04, 20.60, 60.00, 80, 20.09, 0.00, 0.00
04/12/2024, 00:54:10, 20.60, 60.00, 83, 20.11, 0.00, 0.00
04/12/2024, 00:54:16, 20.60, 60.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:54:23, 20.60, 60.00, 83, 20.09, 0.00, 0.00
04/12/2024, 00:54:29, 20.60, 60.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:54:35, 20.60, 60.00, 83, 20.01, 0.00, 0.00
04/12/2024, 00:54:42, 20.60, 60.00, 80, 19.99, 0.00, 0.00
04/12/2024, 00:54:48, 20.60, 60.00, 80, 20.01, 0.00, 0.00
04/12/2024, 00:54:54, 20.60, 60.00, 83, 20.01, 0.00, 0.00
04/12/2024, 00:55:07, 20.60, 60.00, 80, 20.09, 0.00, 0.00
04/12/2024, 00:55:13, 20.60, 59.00, 80, 20.09, 0.00, 0.00
04/12/2024, 00:55:20, 20.60, 59.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:55:26, 20.60, 59.00, 80, 20.09, 0.00, 0.00
04/12/2024, 00:55:32, 20.60, 59.00, 83, 19.99, 0.00, 0.00
04/12/2024, 00:55:39, 20.60, 59.00, 83, 20.11, 0.00, 0.00
04/12/2024, 00:55:45, 20.60, 59.00, 83, 20.01, 0.00, 0.00
